metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1786705450.2357,transparent,5141.9189510003,1786399301.0062,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,Paute,South America,SA,Ecuador,EC,,False,Ufinet Panama S.A.,-2.77957,-78.7616,False,Negocios Y Telefonia Nedetel S.A,False,Azuay,success,America/Guayaquil,,1786398279,1786705450.2357,999,http,181.78.200.26:999,True,5853.4371852875,612,2240,21.458625525947,181.78.200.26
True,1786705450.155,elite,11093.311829028,1786371326.6666,AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,Gävle,Europe,EU,Sweden,SE,,True,Microsoft Corporation,60.673664,17.1456,False,Microsoft Azure Cloud (swedencentral),False,Gävleborg County,success,Europe/Stockholm,800 02,1786370814,1786705450.155,9072,socks4,135.225.91.78:9072,True,15070.785999298,8981,6425,58.295469297676,135.225.91.78
True,1786705450.0842,transparent,5323.5078112312,1779645712.4258,AS138134 PT Tunas Link Indonesia,TLINK-AS-ID,Bandar Lampung,Asia,AS,Indonesia,ID,,False,TLINK,-5.3906,105.2569,False,,True,Lampung,success,Asia/Jakarta,35141,1786386446,1786705450.0842,8080,http,103.133.61.184:8080,False,12287.91475296,2306,7909,22.574645129711,103.133.61.184
True,1786705310.9936,transparent,12275.323628605,1765838212.2437,AS203273 NetCrafters OU,NetCraftersOU,Stockholm,Europe,EU,Sweden,SE,,False,NetCrafters OU,59.3293,18.0686,False,NetCrafters OU,True,Stockholm County,success,Europe/Stockholm,100 04,1786374573,1786705450.0564,3128,http,91.186.217.84:3128,False,22015.449047089,18159,67326,21.242323214599,91.186.217.84
True,1786705314.4364,transparent,5369.2531811132,1786651440.3933,AS265798 LEVEL SEVEN SRL,LEVEL SEVEN SRL,San Miguel de Tucumán,South America,SA,Argentina,AR,,False,Level Seven SRL,-26.816,-65.2154,False,Level Seven SRL,True,Tucuman,success,America/Argentina/Tucuman,4000,1786649538,1786705449.9849,9090,http,138.117.14.237:9090,False,4882.0536136627,350,255,57.851239669421,138.117.14.237
True,1786705449.7101,elite,6211.577098344,1775045895.6074,AS16276 OVH SAS,OVH,Roubaix,Europe,EU,France,FR,,True,OVH SAS,50.6924,3.20113,False,OVH,True,Hauts-de-France,success,Europe/Paris,59100,1786542045,1786705449.7101,30003,http,217.182.195.221:30003,False,12671.688318253,56733,85480,39.892977435256,217.182.195.221
True,1786705449.6227,transparent,7564.8153201117,1780800006.3846,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,San Alberto,South America,SA,Colombia,CO,,False,Ufinet Panama S.A.,7.76107,-73.3922,False,UFINET,True,Cesar Department,success,America/Bogota,205070,1786243221,1786705449.6227,999,http,190.60.39.230:999,False,7313.6446475983,4809,44129,9.8267195226613,190.60.39.230
True,1786705449.5335,transparent,5137.8389047949,1786490210.6004,AS216472 High Speed For Internet Services L.L.C,HS-SYR,Amsterdam,Europe,EU,The Netherlands,NL,,False,High Speed For Internet Services L.L.C,52.3716,4.8883,False,ipbnb,False,North Holland,success,Europe/Amsterdam,1012,1786486642,1786705449.5335,8080,http,89.251.21.11:8080,False,2599.2374420166,152,1663,8.3746556473829,89.251.21.11
True,1786705449.4226,transparent,6016.7486914817,1750609788.6143,AS152835 PT Tiga Media Solusi,IDNIC-3MEDIASOLUSI-AS-ID,Ketanggungan,Asia,AS,Indonesia,ID,,False,PT Tiga Media Solusi,-6.83453,108.803,False,PT Tiga Media Solusi,True,Central Java,success,Asia/Jakarta,52263,1786357911,1786705449.4226,8080,http,160.22.92.24:8080,False,3858.2293987274,13765,78098,14.98427005432,160.22.92.24
True,1786705323.8028,elite,5097.8368132507,1786653305.5561,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,MT-MPLS,Agadir,Africa,AF,Morocco,MA,,False,ADSL Maroc telecom,30.4189,-9.5929,False,,False,Souss-Massa,success,Africa/Casablanca,,1786650408,1786705449.357,8080,http,105.158.26.228:8080,False,4896.5327739716,261,275,48.694029850746,105.158.26.228
True,1786705449.3293,transparent,9839.6816090808,1764828814.728,AS8151 UNINET,UNINET,Zapopan,North America,,Mexico,MX,,False,UNINET,20.6878,-103.2162,False,Gestión de direccionamiento UniNet,True,Jalisco,success,America/Mexico_City,45116,1786446001,1786705449.3293,3128,http,201.144.25.226:3128,False,13987.641572952,24206,225087,9.7098594826168,201.144.25.226
True,1786705444.7704,elite,3203.5599399534,1786680459.483,AS209207 Digital Hosting Provider LLC,DHOST-AS,Frankfurt am Main,Europe,EU,Germany,DE,,True,Digital Hosting Provider LLC,50.1084,8.6837,False,Digital Hosting Provider LLC,False,Hesse,success,Europe/Berlin,60311,1786678554,1786705449.0068,30001,socks5,147.45.39.160:30001,True,5412.2560024261,234,315,42.622950819672,147.45.39.160
True,1786705448.9968,transparent,5724.945665502,1783535988.0922,AS154208 PT GIRI DATA SOLUSINDO,IDNIC-GIRIDATASOLUSINDO-ID,Diwek,Asia,AS,Indonesia,ID,,False,PT GIRI DATA SOLUSINDO,-7.57897,112.231,False,Indonesia Network Information Center,True,East Java,success,Asia/Jakarta,,1786558135,1786705448.9968,8090,http,202.136.83.167:8090,False,3282.9022407532,8809,20594,29.959527939326,202.136.83.167
True,1786705448.988,transparent,5562.0554697283,1785194597.0806,AS9299 Philippine Long Distance Telephone Company,IPG-AS-AP,Angat,Asia,AS,Philippines,PH,,False,Philippine Long Distance Telephone Co.,14.9264,121.0329,False,,True,Central Luzon,success,Asia/Manila,3012,1786402789,1786705448.988,8082,http,112.207.169.6:8082,False,3571.4159011841,3569,9981,26.339483394834,112.207.169.6
True,1786705353.9538,transparent,6077.010749979,1780623218.9291,AS14593 Space Exploration Technologies Corporation,SPACEX-STARLINK,Lagos,Africa,AF,Nigeria,NG,,False,Space Exploration Technologies Corporation,6.5243,3.3792,False,"SpaceX Services, Inc",True,Lagos,success,Africa/Lagos,,1786671794,1786705448.9832,10000,http,129.222.204.27:10000,False,8226.5017032623,16568,40854,28.853052836892,129.222.204.27
True,1786705448.9779,transparent,7393.4122084067,1772285570.1138,"AS273048 WIMAS, S.R.L.","WIMAS, S.R.L.",Maimón,North America,,Dominican Republic,DO,,False,Cogent Communications,18.9008,-70.2839,False,Wimas S.R.L,True,Monseñor Nouel,success,America/Santo_Domingo,42000,1786468267,1786705448.9779,999,http,38.253.86.61:999,False,5096.4615345001,4755,122503,3.7365037954392,38.253.86.61
True,1786705274.9451,transparent,6282.5645603092,1750932117.6439,AS13489 UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A.,Medellín,South America,SA,Colombia,CO,,False,EPM Telecomunicaciones S.A. E.S.P.,6.2529,-75.5646,False,Colombia Móvil,True,Antioquia,success,America/Bogota,050021,1786661068,1786705448.976,999,http,186.97.200.210:999,False,5702.4250030518,18425,98034,15.821018555887,186.97.200.210
True,1786705247.6411,transparent,6217.5832671681,1784474015.5198,AS272149 DLD SERVICIO SRL,DLD SERVICIO SRL,Santiago de los Caballeros,North America,,Dominican Republic,DO,,False,DLD SERVICIO SRL,19.451,-70.6894,False,Redynet SRL,True,Santiago Province,success,America/Santo_Domingo,51000,1786288260,1786705448.9421,999,http,200.107.205.44:999,False,4717.8797721863,2436,15356,13.69154676259,200.107.205.44
True,1786705393.97,transparent,11994.915404097,1786074794.8756,AS210644 AEZA GROUP LLC,AEZA-AS,Amsterdam,Europe,EU,The Netherlands,NL,,True,Aeza International LTD,52.3716,4.8883,False,Aeza Group LLC,False,North Holland,success,Europe/Amsterdam,1012,1786677514,1786705448.9058,3128,http,138.124.89.97:3128,False,10029.185771942,2677,4077,39.635771394729,138.124.89.97
True,1786704354.6073,elite,928.01642618496,1781449007.424,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD-HK-AS-AP,Hong Kong,Asia,AS,Hong Kong,HK,,True,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3193,114.169,False,Ucloud Information Technology (hk) Limited,True,Kowloon,success,Asia/Hong_Kong,999077,1786285871,1786705448.8357,8888,http,165.154.7.156:8888,True,535.69054603577,25440,23381,52.108723704963,165.154.7.156
True,1786705448.7989,transparent,6299.9613508273,1779117593.907,"AS45305 Lintas Data Prima, PT",LDP-AS-ID,Magetan,Asia,AS,Indonesia,ID,,False,"Lintas Data Prima, PT",-7.65667,111.331,False,CV Bilqis Network,True,East Java,success,Asia/Jakarta,,1786374015,1786705448.7989,2021,http,103.184.180.135:2021,True,7200.1481056213,15896,51753,23.497760499047,103.184.180.135
True,1786682610.8669,elite,432.82723822863,1786682610.8669,AS31898 Oracle Corporation,ORACLE-BMC-31898,Singapore,Asia,AS,Singapore,SG,Pasir Ris,True,Oracle Corporation,1.36945,103.969,False,Oracle Corporation,False,South East,success,Asia/Singapore,,1786681567,1786705448.7869,8888,http,168.107.86.167:8888,True,416.26501083374,302,0,100.0,168.107.86.167
True,1786705448.7131,transparent,10805.236225312,1769973575.248,AS51167 Contabo GmbH,CONTABO,Düsseldorf,Europe,EU,Germany,DE,,True,Contabo GmbH,51.2357,6.8091,False,Contabo GmbH,True,North Rhine-Westphalia,success,Europe/Berlin,40237,1786374392,1786705448.7131,3128,http,84.247.171.137:3128,True,18378.566741943,36738,181567,16.828748768924,84.247.171.137
True,1786705218.4523,elite,3210.4583432575,1766742140.9301,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,True,DIGITALOCEAN,1.32123,103.695,False,"DigitalOcean, LLC",True,South West,success,Asia/Singapore,627753,1786101710,1786705448.6898,80,http,139.59.103.183:80,False,3491.9610023499,190990,163233,53.918012099722,139.59.103.183
True,1786705382.5729,transparent,3517.1718957289,1786404890.4649,AS142381 PT Media Access Telematika,IDNIC-MACTEL-AS-ID,Manis Subang,Asia,AS,Indonesia,ID,,False,PT Media Access Telematika,-7.1284,108.531,False,PT Galuh Network Group,True,West Java,success,Asia/Jakarta,,1786401864,1786705448.689,80,http,103.155.65.194:80,False,3506.0296058655,849,2132,28.480375712848,103.155.65.194
